Symbol,Price Average,Volume Average,Price Annual Average Growth Rate,Volume Annual Average Growth Rate,Name,Sector,Marketcap,Rank,Marketcap %
VZ,49.3129,17448237.9038,-1.2523,4.2667,Verizon Communications Inc.,Communication Services,170589192192,48.0,0.35501127175825997
IBM,140.8893,4867675.167,2.3986,3.0566,International Business Machines Corporation,Technology,170551230464,49.0,0.35493227002807
INTC,43.1101,31635025.0287,5.5505,7.4981,Intel Corporation,Technology,158355570688,50.0,0.32955201802397
CMCSA,39.9154,21430215.6139,5.4748,-0.64,Comcast Corporation,Communication Services,157762289664,51.0,0.32831734747929003
NOW,337.5778,1640122.6598,31.9137,1.361,"ServiceNow, Inc.",Technology,157683957760,52.0,0.32815433182454
AXP,122.3803,4095908.3522,12.552,-4.7548,American Express Company,Financial Services,156716482560,53.0,0.32614092993938
COP,70.317,7637667.4595,12.0223,-2.1623,ConocoPhillips,Energy,155545518080,54.0,0.32370404877542
UBER,43.1472,24042412.9855,20.4263,4.6064,"Uber Technologies, Inc.",Technology,154762493952,55.0,0.32207450596601
TXN,123.8775,5343404.8829,14.422,0.3232,Texas Instruments Incorporated,Technology,153726664704,56.0,0.31991885323133
BX,64.8155,4481421.6168,17.769,-0.8025,Blackstone Inc.,Financial Services,152792563712,57.0,0.31797490603948003
MS,60.3966,10369905.2369,14.0425,0.1481,Morgan Stanley,Financial Services,149080637440,58.0,0.31025005753317997
PFE,36.2366,29405789.9135,-0.0383,7.5117,Pfizer Inc.,Healthcare,149038039040,59.0,0.31016140647642
UNP,168.244,3600260.738,11.1893,-7.6777,Union Pacific Corporation,Industrials,144501243904,60.0,0.30071993254574003
AMGN,211.1231,3022842.4335,7.1751,-1.3698,Amgen Inc.,Healthcare,142795620352,61.0,0.29717037832981
PM,91.6548,5034640.964,1.9081,4.3002,Philip Morris International Inc.,Consumer Defensive,139286708224,62.0,0.28986802030207
ISRG,196.4998,2227780.545,24.915,-3.5992,"Intuitive Surgical, Inc.",Healthcare,137689251840,63.0,0.28654357157717997
SPGI,264.6707,1367826.1928,18.7814,3.2576,S&P Global Inc.,Financial Services,135801774080,64.0,0.28261556259031
LOW,139.5251,4473324.372,14.5119,-5.6949,"Lowe's Companies, Inc.",Consumer Cyclical,135699161088,65.0,0.28240201583321
MU,50.9184,25171584.1338,24.425,-0.2133,"Micron Technology, Inc.",Technology,135320608768,66.0,0.2816142148077
NKE,91.3221,7941364.6255,9.2099,3.969,"NIKE, Inc.",Consumer Cyclical,134845677568,67.0,0.28062584076628
RTX,79.1912,6824311.8891,3.5318,9.3056,RTX Corporation,Industrials,134772301824,68.0,0.28047313932102
SYK,199.5693,1347960.8358,15.1565,1.2293,Stryker Corporation,Healthcare,132148641792,69.0,0.27501306959061
NEE,53.7872,8846259.9432,10.8071,4.454,"NextEra Energy, Inc.",Utilities,131376046080,70.0,0.27340522924183
GS,264.6975,2929485.0226,10.6631,-0.1657,"The Goldman Sachs Group, Inc.",Financial Services,130057445376,71.0,0.27066110397308996
SCHW,50.8963,8932236.5323,12.0295,6.6898,The Charles Schwab Corporation,Financial Services,129896144896,72.0,0.27032542333703
HON,160.885,3053760.5679,9.0368,0.6134,Honeywell International Inc.,Industrials,129069129728,73.0,0.26860433126324
LRCX,352.5489,1930633.6398,34.4677,-4.7115,Lam Research Corporation,Technology,126073888768,74.0,0.26237096859373
ETN,120.2788,2333473.4509,18.4692,-4.5426,Eaton Corporation plc,Industrials,125714046976,75.0,0.26162210584007
UPS,137.3922,3385196.7013,5.8665,5.8227,"United Parcel Service, Inc.",Industrials,125632954368,76.0,0.26145334491491
BKNG,2049.4886,434411.2234,13.8539,-7.4566,Booking Holdings Inc.,Consumer Cyclical,122541645824,77.0,0.25502005706414
PGR,85.1747,3006989.1509,22.9037,-3.6791,The Progressive Corporation,Financial Services,120741634048,78.0,0.25127407256438
T,23.2458,42845121.9027,-4.0961,2.5157,AT&T Inc.,Communication Services,120011472896,79.0,0.24975454230675
ELV,306.8694,1435579.6221,15.6444,-6.3388,"Elevance Health, Inc.",Healthcare,118107430912,80.0,0.24579206169742998
BLK,561.8236,665532.4817,11.3113,4.3675,"BlackRock, Inc.",Financial Services,116575780864,81.0,0.24260456180695
C,57.7552,19080779.8363,2.1711,2.8798,Citigroup Inc.,Financial Services,115261554688,82.0,0.23986954031979998
DE,227.948,2166039.0889,20.7413,-7.0011,Deere & Company,Industrials,114675154944,83.0,0.23864919033044002
PLD,88.6448,2992923.6642,14.0216,4.1953,"Prologis, Inc.",Real Estate,111579291648,84.0,0.2322064236359
MDT,90.9421,5587859.6259,2.0564,0.7716,Medtronic plc,Healthcare,109319421952,85.0,0.22750343393018999
TJX,57.6276,6609797.2658,12.5323,-0.3679,"The TJX Companies, Inc.",Consumer Cyclical,109082345472,86.0,0.22701005670279
LMT,344.9249,1392258.7448,9.469,3.8301,Lockheed Martin Corporation,Industrials,108633997312,87.0,0.22607700433044
BA,220.8862,8654651.324,9.8444,47.5328,The Boeing Company,Industrials,107076132864,88.0,0.22283494994348998
REGN,544.9758,789865.5393,9.1389,-3.7417,"Regeneron Pharmaceuticals, Inc.",Healthcare,102759186432,89.0,0.21385100070705998
VRTX,216.0137,1612918.8593,16.9643,-1.5422,Vertex Pharmaceuticals Incorporated,Healthcare,102758129664,90.0,0.21384880147892
ABNB,154.092,7860291.4525,-6.3057,-21.6822,"Airbnb, Inc.",Consumer Cyclical,102237003776,91.0,0.21276429218576
BMY,60.3858,11071443.239,-1.6462,16.1315,Bristol-Myers Squibb Company,Healthcare,101925756928,92.0,0.21211655982992
CI,207.8676,1869031.6837,10.8039,0.7417,The Cigna Group,Healthcare,101500248064,93.0,0.21123103806262
ADP,161.4958,2004273.2339,12.9417,1.9119,"Automatic Data Processing, Inc.",Industrials,100968316928,94.0,0.21012404208793997
BSX,36.9323,8219318.2301,16.1316,-2.4217,Boston Scientific Corporation,Healthcare,100908638208,95.0,0.20999984536709
CB,160.3324,1771556.4696,9.7221,0.8458,Chubb Limited,Financial Services,100684521472,96.0,0.20953343851887
MMC,116.1141,1865258.722,15.0891,-1.2744,"Marsh & McLennan Companies, Inc.",Financial Services,99288760320,97.0,0.20662873549944002
ADI,120.8855,3007554.6337,14.6896,3.9795,"Analog Devices, Inc.",Technology,97361616896,98.0,0.20261817874011
SBUX,78.006,8591715.3049,8.2877,3.3037,Starbucks Corporation,Consumer Cyclical,97314308096,99.0,0.20251972492227
KLAC,239.1692,1370733.4247,31.0914,-4.1573,KLA Corporation,Technology,92921987072,100.0,0.19337891446021999
PANW,119.1265,4569978.908,24.3098,4.4635,"Palo Alto Networks, Inc.",Technology,90791100416,101.0,0.18894434992540002
FI,89.5409,3080331.8904,15.1837,6.4362,"Fiserv, Inc.",Technology,90539974656,102.0,0.18842173489754002
ANET,88.7602,2913914.4859,39.7577,0.266,"Arista Networks, Inc.",Technology,90107363328,103.0,0.18752143227135
MDLZ,54.0269,7609800.628,6.8893,-1.8904,"Mondelez International, Inc.",Consumer Defensive,89693265920,104.0,0.18665965875829
CVS,80.2296,7604549.0536,-1.8833,11.9843,CVS Health Corporation,Healthcare,89683156992,105.0,0.18663862118059
HCA,159.349,2058688.3706,17.7429,-11.5438,"HCA Healthcare, Inc.",Healthcare,86687604736,106.0,0.18040461067643
SNPS,212.6286,984009.1153,31.9841,7.793,"Synopsys, Inc.",Technology,85612265472,107.0,0.1781667340866
GILD,76.349,8786848.7428,-2.8052,2.7573,"Gilead Sciences, Inc.",Healthcare,84943601664,108.0,0.17677518526802
AMT,181.0697,2083182.5706,9.7197,0.8275,American Tower Corporation,Real Estate,84857413632,109.0,0.17659582031262
WM,114.166,1875587.7528,16.0011,-1.4831,"Waste Management, Inc.",Industrials,83550035968,110.0,0.17387505118767
CDNS,108.7812,2042519.6771,35.5324,-7.8089,"Cadence Design Systems, Inc.",Technology,83031531520,111.0,0.17279599734415999
SHW,188.4821,1791102.0318,15.6937,-3.4835,The Sherwin-Williams Company,Basic Materials,81605787648,112.0,0.1698288976194
CMG,1104.5982,611255.1316,20.554,-6.4488,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,81322778624,113.0,0.16923993068522
EOG,94.8458,3981476.413,7.5824,-1.3467,"EOG Resources, Inc.",Energy,80011272192,114.0,0.16651056922708
GD,191.3182,1325986.3408,8.3482,-0.3107,General Dynamics Corporation,Industrials,79577694208,115.0,0.16560825490383
TGT,120.188,4997814.8313,11.2692,-0.7649,Target Corporation,Consumer Defensive,79235235840,116.0,0.16489556860064
SLB,53.0016,10519160.5474,-0.9256,6.4184,Schlumberger Limited,Energy,77470228480,117.0,0.16122243140194
ITW,174.3846,1320990.3676,12.5665,-1.553,Illinois Tool Works Inc.,Industrials,77461594112,118.0,0.16120446251467
CME,167.2982,1613857.9383,10.1743,3.5996,CME Group Inc.,Financial Services,76325937152,119.0,0.15884105943813
ICE,88.335,2837898.6029,12.482,-2.3275,"Intercontinental Exchange, Inc.",Financial Services,76123570176,120.0,0.1584199157737
SO,57.5295,4886570.6785,5.1929,0.3378,The Southern Company,Utilities,76120465408,121.0,0.15841345447552999
MPC,75.7995,5523783.0347,19.3246,-3.2946,Marathon Petroleum Corporation,Energy,76110168064,122.0,0.15839202478739
ZTS,120.9149,2510644.6548,18.038,-0.4768,Zoetis Inc.,Healthcare,74723893248,123.0,0.15550706367636
DUK,88.7079,3226014.0885,2.8084,0.4022,Duke Energy Corporation,Utilities,73604997120,124.0,0.153178541381
EQIX,561.8994,548640.8848,14.8352,-1.1962,"Equinix, Inc.",Real Estate,73423364096,125.0,0.15280054691362
MAR,132.9703,2433395.6922,15.2241,5.7505,"Marriott International, Inc.",Consumer Cyclical,73318678528,126.0,0.15258268694164
FCX,23.2392,21962266.1074,20.299,-4.1805,Freeport-McMoRan Inc.,Basic Materials,73040150528,127.0,0.15200304541671
MO,51.9044,8560669.1883,-2.0243,8.141,"Altria Group, Inc.",Consumer Defensive,71590813696,128.0,0.14898684664513
PH,236.9338,984912.7059,19.2817,-7.3747,Parker-Hannifin Corporation,Industrials,71315619840,129.0,0.14841414377021
CL,73.5561,4022045.2371,2.4874,4.4281,Colgate-Palmolive Company,Consumer Defensive,71151108096,130.0,0.14807178020833
PSX,93.2131,3106488.2435,8.1308,0.7815,Phillips 66,Energy,70659416064,131.0,0.14704852538573002
PYPL,97.4859,11062357.6879,11.2589,9.2067,"PayPal Holdings, Inc.",Financial Services,70606233600,132.0,0.14693784795103002
MCO,229.2765,868546.3786,16.8678,-2.1758,Moody's Corporation,Financial Services,70187786240,133.0,0.14606702180121
MCK,237.0357,1434356.8712,12.413,-2.207,McKesson Corporation,Healthcare,69644926976,134.0,0.14493728342082
BDX,218.2043,1313123.5637,6.5504,4.9996,"Becton, Dickinson and Company",Healthcare,69622497280,135.0,0.14489060522978
CSX,23.7912,17336573.5371,16.9383,-6.661,CSX Corporation,Industrials,69318262784,136.0,0.14425746620174998
APH,56.6318,2601665.8244,16.2443,3.4006,Amphenol Corporation,Technology,68839358464,137.0,0.14326082374444998
CTAS,286.9725,522027.488,24.756,-5.0741,Cintas Corporation,Industrials,68077617152,138.0,0.14167557236687
NOC,331.938,979774.3008,12.7536,0.0341,Northrop Grumman Corporation,Industrials,67834789888,139.0,0.14117022724679998
TDG,512.8575,410135.8209,20.4634,2.5557,TransDigm Group Incorporated,Industrials,67834683392,140.0,0.14117000561916002
TT,121.7935,1821420.5841,22.2633,-9.6411,Trane Technologies plc,Industrials,67790077952,141.0,0.14107717773377
FDX,208.2801,2176231.7338,7.1815,4.375,FedEx Corporation,Industrials,66515689472,142.0,0.13842506203297
USB,47.0402,7820867.8968,1.2129,7.3359,U.S. Bancorp,Financial Services,65495769088,143.0,0.13630251705832
EMR,74.0553,3392899.7424,8.0075,-5.5242,Emerson Electric Co.,Industrials,65219534848,144.0,0.13572764905183
ORLY,499.9302,659109.3511,19.0083,-2.138,"O'Reilly Automotive, Inc.",Consumer Cyclical,64522412032,145.0,0.13427687450802
PXD,172.8163,2096384.5002,8.3835,0.0963,Pioneer Natural Resources Company,Energy,64321089536,146.0,0.13385790449931
ECL,164.4413,1228108.5376,7.8403,6.1075,Ecolab Inc.,Basic Materials,63515348992,147.0,0.13218108680907
AON,202.6575,1140218.6173,14.1769,1.4964,Aon plc,Financial Services,62662168576,148.0,0.1304055425285
PCAR,56.582,2899714.7381,11.87,-2.5158,PACCAR Inc,Industrials,62194868224,149.0,0.12943304896003
NXPI,139.596,3365396.4556,12.6888,2.6849,NXP Semiconductors N.V.,Technology,61827137536,150.0,0.12866776871259
PNC,134.433,2319893.4089,7.8696,1.8067,"The PNC Financial Services Group, Inc.",Financial Services,61677907968,151.0,0.12835720871732
OXY,56.6249,12102722.2432,6.949,28.2582,Occidental Petroleum Corporation,Energy,61112901632,152.0,0.12718138031155998
CEG,103.1173,2266271.1193,30.9767,-3.1642,Constellation Energy Corporation,Utilities,60213321728,153.0,0.12530927457225
RSG,95.3845,1291259.2794,17.5466,-0.8241,"Republic Services, Inc.",Industrials,59678564352,154.0,0.12419639694093
MSI,169.4534,1045505.485,20.2012,-8.0808,"Motorola Solutions, Inc.",Technology,57887256576,155.0,0.12046852623882999
VLO,88.0627,4450271.7376,12.618,-4.7586,Valero Energy Corporation,Energy,57885069312,156.0,0.12046397434803001
MNST,36.766,5693400.0041,11.3784,0.029,Monster Beverage Corporation,Consumer Defensive,57402511360,157.0,0.11945972835779001
ROP,345.3985,491825.567,14.2384,3.6563,"Roper Technologies, Inc.",Technology,57362718720,158.0,0.11937691633698
NSC,180.9888,1595874.2877,12.5402,-5.0163,Norfolk Southern Corporation,Industrials,56394436608,159.0,0.11736183519623
EW,63.9415,4159996.2735,16.5664,-3.6511,Edwards Lifesciences Corporation,Healthcare,55082340352,160.0,0.11463124626193001
SPG,147.5897,2142833.7517,0.4679,24.3542,"Simon Property Group, Inc.",Real Estate,54525648896,161.0,0.11347272186052
DXCM,64.7629,3991973.8454,28.7645,1.4237,"DexCom, Inc.",Healthcare,54095470592,162.0,0.11257748257353
CPRT,22.6496,5260096.2894,31.9943,6.0559,"Copart, Inc.",Industrials,53870714880,163.0,0.11210974595946
COF,99.6241,2911534.1068,9.5346,2.3979,Capital One Financial Corporation,Financial Services,53232058368,164.0,0.11078064499106
SMCI,104.7593,1644327.0513,62.5758,102.8298,"Super Micro Computer, Inc.",Technology,53195378688,165.0,0.11070431131671
HLT,102.085,2662412.5271,16.3438,-3.5848,Hilton Worldwide Holdings Inc.,Consumer Cyclical,52850421760,166.0,0.10998642528807
APD,211.0048,1242538.5927,8.1239,6.983,"Air Products and Chemicals, Inc.",Basic Materials,52443029504,167.0,0.10913860579231001
AJG,116.4668,972894.7027,20.4775,-0.5911,Arthur J. Gallagher & Co.,Financial Services,52397088768,168.0,0.10904299903725
AZO,1389.1782,258133.5859,18.2966,-3.167,"AutoZone, Inc.",Consumer Cyclical,52354248704,169.0,0.10895384505623
MET,52.4728,5679816.1444,6.0058,-5.9223,"MetLife, Inc.",Financial Services,51992371200,170.0,0.10820074580495001
FTNT,30.5748,7793755.5975,30.8436,-2.8734,"Fortinet, Inc.",Technology,51985297408,171.0,0.10818602461505
EL,169.0458,1860647.8176,9.4409,6.4383,The Estée Lauder Companies Inc.,Consumer Defensive,51931979776,172.0,0.10807506588372
F,11.9731,52298230.3756,1.471,11.7769,Ford Motor Company,Consumer Cyclical,51895607296,173.0,0.10799937151988
AIG,55.1283,5641287.9218,3.9313,-4.4708,"American International Group, Inc.",Financial Services,51434442752,174.0,0.10703964711323999
TRV,143.4648,1528743.6828,8.3674,-1.6231,"The Travelers Companies, Inc.",Financial Services,51400523776,175.0,0.1069690587093
WELL,73.9555,2410721.6233,4.1403,4.9448,Welltower Inc.,Real Estate,51312795648,176.0,0.10678648867721999
MMM,134.9802,3704411.5038,-3.4788,14.2433,3M Company,Industrials,51257831424,177.0,0.10667210324158999
CARR,43.8207,5371744.1369,26.0624,-9.3941,Carrier Global Corporation,Industrials,51206856704,178.0,0.10656602031839
ADSK,167.6848,1832130.9159,20.7702,-6.7369,"Autodesk, Inc.",Technology,51127824384,179.0,0.10640154703567999
GM,37.744,14791101.9372,4.5447,5.1106,General Motors Company,Consumer Cyclical,50725650432,180.0,0.10556458729437
TFC,44.3941,6220738.4297,1.3147,12.7125,Truist Financial Corporation,Financial Services,50047123456,181.0,0.10415251234649998
DHI,66.4832,3917027.9897,21.6519,-7.0694,"D.R. Horton, Inc.",Consumer Cyclical,49191870464,182.0,0.10237265485105
GWW,410.2912,488062.4553,17.8253,-8.1576,"W.W. Grainger, Inc.",Industrials,49174962176,183.0,0.10233746720082999
HES,80.4115,3148204.7168,12.1545,0.9411,Hess Corporation,Energy,48677195776,184.0,0.10130157107851
PSA,248.9095,839396.6127,4.9843,2.698,Public Storage,Real Estate,48602013696,185.0,0.10114511048747
STZ,199.6079,1361130.0416,9.2756,2.3186,"Constellation Brands, Inc.",Consumer Defensive,48432676864,186.0,0.10079270548858998
AFL,50.6542,3350028.6502,12.3188,-6.129,Aflac Incorporated,Financial Services,47712829440,187.0,0.09929463901566998
MCHP,53.9445,5083575.7,17.0742,3.8021,Microchip Technology Incorporated,Technology,47602774016,188.0,0.09906560389606
NUE,86.8609,2395305.1565,20.3179,-2.9554,Nucor Corporation,Basic Materials,47559233536,189.0,0.09897499228708
COR,120.1624,1551118.7044,10.035,-3.3041,"Cencora, Inc.",Healthcare,47386406912,190.0,0.09861532472086
WMB,29.8014,8609490.4687,0.5405,2.047,"The Williams Companies, Inc.",Energy,47372169216,191.0,0.09858569480997
ODFL,92.0527,1668560.676,29.3695,-2.1841,"Old Dominion Freight Line, Inc.",Industrials,46792704000,192.0,0.09737977618975001
ROST,92.1234,2547565.7004,13.413,-0.1458,"Ross Stores, Inc.",Consumer Cyclical,46369603584,193.0,0.09649926661680999
OKE,55.6223,3041490.3543,8.9941,11.5567,"ONEOK, Inc.",Energy,46104547328,194.0,0.09594766098857
URI,237.8871,1293651.6624,30.3763,-12.745,"United Rentals, Inc.",Industrials,45818880000,195.0,0.09535316188748
DLR,117.2309,1667698.7901,9.6014,11.7006,"Digital Realty Trust, Inc.",Real Estate,45070258176,196.0,0.09379521333055
NEM,41.5762,8247993.6449,9.0148,10.1459,Newmont Corporation,Basic Materials,45027979264,197.0,0.09370722715672
O,59.1731,3275354.2608,2.6643,15.5758,Realty Income Corporation,Real Estate,44899004416,198.0,0.09343881903411
PAYX,85.4743,1952943.3396,11.2739,-0.5902,"Paychex, Inc.",Industrials,44822593536,199.0,0.09327980120106
ALL,103.6056,1996068.0223,10.4373,-4.2248,The Allstate Corporation,Financial Services,44773093376,200.0,0.09317678696828
KHC,58.9027,6163820.8009,-11.3103,13.596,The Kraft Heinz Company,Consumer Defensive,44759867392,201.0,0.09314926251998
TEL,101.0799,1745256.6383,10.2037,3.3367,TE Connectivity Ltd.,Technology,44757327872,202.0,0.09314397755314
JCI,47.9566,4695065.2173,5.8765,11.6977,Johnson Controls International plc,Industrials,44576722944,203.0,0.09276812264492
SRE,63.4737,2980321.5152,4.0108,6.4111,Sempra,Utilities,44395028480,204.0,0.09239000031543
LULU,228.0184,1988671.9362,29.1249,-2.9383,Lululemon Athletica Inc.,Consumer Cyclical,44134301696,205.0,0.09184740470325001
AEP,77.8828,2918822.7441,4.4577,5.1781,"American Electric Power Company, Inc.",Utilities,43859681280,206.0,0.09127589520794
IQV,151.557,1142042.3828,15.6995,6.5378,IQVIA Holdings Inc.,Healthcare,43575971840,207.0,0.09068547064581
LEN,75.6974,2873523.4774,15.4176,-0.7044,Lennar Corporation,Consumer Cyclical,43060015104,208.0,0.08961171881742
KMB,126.034,1874655.3978,1.3816,4.8435,Kimberly-Clark Corporation,Consumer Defensive,42841985024,209.0,0.08915797884135
FAST,39.5179,4487731.9137,14.7286,-2.1771,Fastenal Company,Industrials,42783195136,210.0,0.08903563185888999
AMP,204.3443,855577.7846,15.9801,-8.9211,"Ameriprise Financial, Inc.",Financial Services,42679361536,211.0,0.08881954490805001
CCI,124.2564,2296976.4596,4.4084,3.7833,Crown Castle Inc.,Real Estate,42452602880,212.0,0.08834763998949
A,91.2822,1986626.6528,16.0003,-3.6731,"Agilent Technologies, Inc.",Healthcare,42246811648,213.0,0.08791937014396
MSCI,301.0975,552415.5443,29.9196,-0.9209,MSCI Inc.,Financial Services,42230140928,214.0,0.08788467689386001
BK,46.7158,5108482.5093,4.1637,-3.4166,The Bank of New York Mellon Corporation,Financial Services,41919856640,215.0,0.08723894771094
IDXX,313.0185,543219.5665,28.3356,-4.2387,"IDEXX Laboratories, Inc.",Healthcare,41888690176,216.0,0.08717408752913
FIS,93.6066,3204927.0203,2.1101,18.9994,"Fidelity National Information Services, Inc.",Technology,41868722176,217.0,0.08713253234628
DOW,54.7048,5054148.5414,0.5722,2.8135,Dow Inc.,Basic Materials,41665150976,218.0,0.08670888258467
AME,98.9632,1207770.3579,14.4853,-0.9938,"AMETEK, Inc.",Industrials,41560358912,219.0,0.08649080098505
KDP,53.0072,4672219.2567,-5.5597,35.7788,Keurig Dr Pepper Inc.,Consumer Defensive,41456881664,220.0,0.08627545563439
CMI,183.9315,1506118.6228,8.9647,18.501,Cummins Inc.,Industrials,41342246912,221.0,0.08603689052618001
MRNA,112.6555,7175431.6221,58.3161,155.1897,"Moderna, Inc.",Healthcare,41021763584,222.0,0.08536993623448
D,70.2273,3787061.4777,-3.7557,11.7791,"Dominion Energy, Inc.",Utilities,40874536960,223.0,0.08506354454371
KR,36.5436,8315618.7992,4.3977,-3.0618,The Kroger Co.,Consumer Defensive,40847540224,224.0,0.08500736193649
KMI,19.7024,15282621.4946,-5.6711,-0.6338,"Kinder Morgan, Inc.",Energy,40547889152,225.0,0.08438376142119
PRU,93.6174,2154021.4616,4.7215,-3.1091,"Prudential Financial, Inc.",Financial Services,40509313024,226.0,0.08430348106999
CTVA,48.2743,4103412.9983,4.9553,-6.8064,"Corteva, Inc.",Basic Materials,39947980800,227.0,0.08313529881788
OTIS,78.0275,2360268.0472,10.1497,-9.1945,Otis Worldwide Corporation,Industrials,39450775552,228.0,0.08210057050274
HSY,148.0172,1222603.0172,9.0597,8.7482,The Hershey Company,Consumer Defensive,39214829568,229.0,0.081609545938
LVS,53.6486,5235550.7702,1.3557,0.8743,Las Vegas Sands Corp.,Consumer Cyclical,39082786816,230.0,0.08133475323447
LHX,164.9002,1091855.4489,12.664,3.5066,"L3Harris Technologies, Inc.",Industrials,39061594112,231.0,0.08129064933374
GEHC,89.5581,2426425.275,-13.0662,146.7971,GE HealthCare Technologies Inc.,Healthcare,38965846016,232.0,0.0810913890354
GIS,60.6313,3943958.143,2.5561,4.9546,"General Mills, Inc.",Consumer Defensive,38869196800,233.0,0.08089025342625
YUM,96.857,2532521.78,10.3068,-7.6462,"Yum! Brands, Inc.",Consumer Cyclical,38832922624,234.0,0.08081476364176
KVUE,23.0731,20875475.4985,-20.7222,-32.3821,Kenvue Inc.,Consumer Defensive,38751096832,235.0,0.08064447689552999
CNC,57.7558,3754421.1414,11.9262,3.7952,Centene Corporation,Healthcare,38646956032,236.0,0.08042775063419
HUM,332.2232,1236295.2252,10.9762,8.0818,Humana Inc.,Healthcare,38475624448,237.0,0.08007119437909
SYY,65.0746,3153640.6188,8.7016,-1.7336,Sysco Corporation,Consumer Defensive,38312996864,238.0,0.07973275192164
CHTR,387.1413,1475797.1727,10.7413,7.3237,"Charter Communications, Inc.",Communication Services,37951860736,239.0,0.07898119553972
GEV,99.8468,11014267.125,,,GE Vernova Inc.,,37648261120,240.0,0.07834937775339999
IR,45.5503,2140861.4886,17.9905,22.7997,Ingersoll Rand Inc.,Industrials,37515513856,241.0,0.07807311889778
MLM,283.5399,590873.4149,16.6404,-6.0856,"Martin Marietta Materials, Inc.",Basic Materials,37498437632,242.0,0.07803758175782
PWR,81.5123,1539068.773,29.9979,-10.3091,"Quanta Services, Inc.",Industrials,37063970816,243.0,0.07713341769618
CSGP,54.4758,2230513.572,19.8492,3.1253,"CoStar Group, Inc.",Real Estate,37022277632,244.0,0.07704665047438
EXC,31.8169,7994315.4298,5.9283,-3.4888,Exelon Corporation,Utilities,36900216832,245.0,0.07679263110021
FANG,104.8803,2057327.5166,16.2314,9.3946,"Diamondback Energy, Inc.",Energy,36801126400,246.0,0.07658641510357
HAL,34.008,10952875.6548,3.4136,-1.6135,Halliburton Company,Energy,36440068096,247.0,0.07583502068031
NDAQ,38.9025,2711062.9891,15.3155,0.7536,"Nasdaq, Inc.",Financial Services,36278571008,248.0,0.07549893088553
IT,203.6694,512918.0199,22.5634,3.0339,"Gartner, Inc.",Technology,36159954944,249.0,0.07525208031316
PCG,30.3343,11789425.8109,-6.3894,28.3997,PG&E Corporation,Utilities,35731140608,250.0,0.07435967956482
VMC,147.6407,1029711.0376,12.683,-2.1962,Vulcan Materials Company,Basic Materials,34993881088,251.0,0.07282537697244999
CTSH,67.9381,3827876.4365,3.1147,4.3446,Cognizant Technology Solutions Corporation,Technology,34834006016,252.0,0.07249266273713
DVN,39.0916,8373505.1775,9.8706,15.2455,Devon Energy Corporation,Energy,34613850112,253.0,0.07203449873237
ACGL,41.8164,1677692.4302,17.1797,5.496,Arch Capital Group Ltd.,Financial Services,34584616960,254.0,0.07197366194467
EA,110.143,3032151.9542,10.5283,-3.6662,Electronic Arts Inc.,Communication Services,34568355840,255.0,0.07193982110858
BKR,34.2304,6258473.1194,-3.8238,13.2262,Baker Hughes Company,Energy,34419101696,256.0,0.07162920996847
DG,141.1129,2556572.5903,9.7717,-2.4802,Dollar General Corporation,Consumer Defensive,33967728640,257.0,0.07068986251868
LYB,90.8643,2557168.1268,2.1167,-6.2053,LyondellBasell Industries N.V.,Basic Materials,33597865984,258.0,0.06992014545632999
RCL,91.6026,3820832.1447,8.6398,64.2273,Royal Caribbean Cruises Ltd.,Consumer Cyclical,33595484160,259.0,0.06991518866888001
PEG,54.1895,2764839.7349,4.7827,0.7344,Public Service Enterprise Group Incorporated,Utilities,33190936576,260.0,0.0690732891884
CDW,122.2349,884274.657,23.0553,-3.9517,CDW Corporation,Technology,33188685824,261.0,0.06906860517343
ADM,54.3788,3580154.1726,5.0519,10.4173,Archer-Daniels-Midland Company,Consumer Defensive,32574251008,262.0,0.06778991170734
MPWR,268.1502,402928.6307,34.0606,8.5644,"Monolithic Power Systems, Inc.",Technology,32432068608,263.0,0.06749401749507
PPG,122.2801,1525496.4143,3.8948,2.4714,"PPG Industries, Inc.",Basic Materials,32416268288,264.0,0.06746113562474
VRSK,148.6564,904403.3466,14.6712,-2.6591,"Verisk Analytics, Inc.",Industrials,32394668032,265.0,0.06741618357207001
ROK,206.3723,896484.3708,12.3641,1.5809,"Rockwell Automation, Inc.",Industrials,32321818624,266.0,0.06726457747879999
GPN,119.4961,1725129.544,12.5898,8.3775,Global Payments Inc.,Industrials,31888175104,267.0,0.06636212676931
DD,73.9879,4926715.0492,2.4728,-5.8995,"DuPont de Nemours, Inc.",Basic Materials,31815651328,268.0,0.06621119834519
EXR,116.3346,1018461.993,10.1969,6.9718,Extra Space Storage Inc.,Real Estate,31177431040,269.0,0.0648830051977
XYL,79.4044,1158940.3104,15.7634,4.0556,Xylem Inc.,Industrials,30992496640,270.0,0.06449814027342
DFS,81.8862,2564763.94,10.7564,2.0743,Discover Financial Services,Financial Services,30892158976,271.0,0.06428932867613
EFX,163.4853,908483.9805,12.3424,8.6027,Equifax Inc.,Industrials,30870161408,272.0,0.06424354978187
ED,80.9612,1970240.9478,4.4441,-0.6796,"Consolidated Edison, Inc.",Utilities,30712385536,273.0,0.06391520416835
XEL,55.1255,3456370.1822,6.4911,8.3917,Xcel Energy Inc.,Utilities,29839632384,274.0,0.062098927284440004
